,id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude,monument
4189,13674828,40709654,Vladimir,Private room,Centro,Embajadores,23,18,40.41304,-3.70726,Plaza Mayor
4190,13677539,52499148,Chen,Private room,Carabanchel,Puerta Bonita,16,15,40.38627,-3.7288,Puente de Toledo
4191,13681097,75150135,Estuhome,Shared room,Chamberí,Gaztambide,30,0,40.43653,-3.7169,Templo de Debod
4192,13681907,79658460,Suso,Entire home/apt,Chamberí,Rios Rosas,75,31,40.43973,-3.69835,Malasaña
4193,13688121,19678357,Del Moral,Entire home/apt,Centro,Embajadores,58,94,40.4075,-3.69969,Paseo del Prado
4194,13690664,20160777,Pablo,Entire home/apt,Centro,Justicia,320,116,40.4211,-3.69612,Edificio Metrópolis
4195,13694623,2067679,Jaime,Entire home/apt,Puente de Vallecas,Palomeras Bajas,55,124,40.39221,-3.6596,Palacio De Cristal
4196,13694719,4615520,"Alfredo, Marta Y Eduardo - Mahdrid",Entire home/apt,Centro,Palacio,79,161,40.4148,-3.71157,Cripta de la Almudena
4197,13696142,77507237,Virmania,Private room,Chamberí,Gaztambide,20,9,40.43663,-3.71582,Templo de Debod
4198,13707474,12221950,Javier,Private room,Centro,Justicia,25,7,40.42138,-3.69727,Edificio Metrópolis
4199,13707745,12572313,Luis,Entire home/apt,Chamberí,Almagro,89,0,40.43796,-3.69251,Malasaña
4200,13707810,15208964,Pedro,Entire home/apt,Centro,Embajadores,53,131,40.40835,-3.70205,Barrio de Las Letras
4201,13710484,70029771,Clara,Entire home/apt,Tetuán,Berruguete,26,1,40.46333,-3.70578,Estadio Santiago Bernabéu
4202,13721095,26640631,Miguel Ãngel,Entire home/apt,Salamanca,Goya,130,83,40.4252,-3.679,Monumento a Alfonso XII
4203,13721711,5542111,Melvin Enrique,Entire home/apt,Centro,Universidad,60,162,40.4232,-3.70453,Gran Vía
4204,13722281,27526991,Leticia Y Fer,Hotel room,Salamanca,Guindalera,96,53,40.43799,-3.67284,Barrio de Salamanca
4205,13722593,50350288,Carol E IvÃ¡n,Entire home/apt,Centro,Sol,75,190,40.41734,-3.7009,Barrio de Las Letras
4206,13723799,21350181,Myriam,Private room,Centro,Universidad,45,0,40.42022,-3.70353,Gran Vía
4207,13724187,80228133,Daniel,Entire home/apt,Centro,Sol,65,176,40.41552,-3.70842,Plaza Mayor
4208,13724416,27526991,Leticia Y Fer,Entire home/apt,Chamartín,Hispanoamérica,96,52,40.45565,-3.66614,Estadio Santiago Bernabéu
4209,13726000,80242790,Liliana,Private room,Retiro,Pacífico,33,0,40.40449,-3.68219,Paseo del Prado
4210,13726740,61289160,Ãlvaro,Private room,Carabanchel,Puerta Bonita,15,1,40.38633,-3.73198,La Latina
4211,13727695,78913351,Miguel,Private room,Arganzuela,Delicias,25,0,40.39966,-3.69705,Paseo del Prado
4212,13727903,80277670,Ana,Entire home/apt,Centro,Embajadores,50,156,40.40935,-3.70893,Plaza Mayor
4213,13728226,61974351,Vasco,Entire home/apt,Centro,Justicia,300,28,40.42438,-3.6974,Fundación Mapfre Recoletos
4214,13729667,80292813,Danny,Entire home/apt,Centro,Embajadores,70,193,40.41103,-3.69948,Barrio de Las Letras
4215,13729753,63062547,Fabio,Entire home/apt,Centro,Universidad,70,134,40.42432,-3.70174,Malasaña
4216,13730515,80312544,Almudena,Entire home/apt,Arganzuela,Imperial,80,8,40.40562,-3.72126,Puente de Toledo
4217,13730706,30256733,Juan,Entire home/apt,Centro,Cortes,68,117,40.41299,-3.69836,Barrio de Las Letras
4218,13731183,1625657,Matias,Entire home/apt,Centro,Justicia,80,129,40.42301,-3.70009,Edificio Metrópolis
4219,13731727,69009447,Ricardo,Entire home/apt,Centro,Embajadores,140,338,40.40998,-3.69614,Paseo del Prado
4220,13732070,78913351,Miguel,Private room,Arganzuela,Delicias,25,1,40.4001,-3.69758,Paseo del Prado
4221,13732505,78913351,Miguel,Private room,Arganzuela,Delicias,25,0,40.39973,-3.69714,Paseo del Prado
4222,13732593,78913351,Miguel,Private room,Arganzuela,Delicias,18,0,40.3999,-3.69728,Paseo del Prado
4223,13735263,80383703,Ana Isabel,Entire home/apt,Puente de Vallecas,San Diego,70,54,40.39203,-3.66529,Palacio De Cristal
4224,13736678,24721783,Marijou,Entire home/apt,Tetuán,Bellas Vistas,60,0,40.45349,-3.70708,Estadio Santiago Bernabéu
4225,13739130,54223695,Alba,Private room,Puente de Vallecas,San Diego,15,3,40.39521,-3.66847,Palacio De Cristal
4226,13739272,49888648,Isabel,Entire home/apt,Centro,Embajadores,50,159,40.40827,-3.70287,Barrio de Las Letras
4227,13740681,80439881,Luis,Private room,Tetuán,Cuatro Caminos,21,1,40.45556,-3.69671,Estadio Santiago Bernabéu
4228,13742229,6504107,Valeria,Private room,Salamanca,Lista,55,18,40.43276,-3.67931,Barrio de Salamanca
4229,13744404,80473977,Urbantec,Entire home/apt,Centro,Palacio,45,126,40.41808,-3.71051,Plaza de Oriente
4230,13744939,80486475,Paulina,Private room,Centro,Cortes,17,6,40.41227,-3.6948,Paseo del Prado
4231,13744974,27320546,Isabel,Private room,Centro,Palacio,25,0,40.40864,-3.71198,Cripta de la Almudena
4232,13745016,1175985,Scherezade,Entire home/apt,Arganzuela,Imperial,50,10,40.41189,-3.7196,Cripta de la Almudena
4233,13746879,4083766,Sonia,Private room,Ciudad Lineal,Costillares,50,2,40.47974,-3.66689,Estadio Santiago Bernabéu
4234,13748690,32622728,Ralph,Entire home/apt,Centro,Embajadores,40,68,40.40949,-3.69925,Paseo del Prado
4235,13749560,70463864,Beatriz,Private room,Arganzuela,Palos de Moguer,44,56,40.40154,-3.69668,Paseo del Prado
4236,13750696,8275478,Alberto,Entire home/apt,Centro,Universidad,1200,1,40.42952,-3.71043,Malasaña
4237,13751298,51176570,Mar,Entire home/apt,Centro,Cortes,115,216,40.41688,-3.69874,Edificio Metrópolis
4238,13755327,723539,Eloisa,Entire home/apt,Centro,Embajadores,58,79,40.41105,-3.69842,Barrio de Las Letras
4239,13755382,73339562,Carmen,Private room,Chamberí,Rios Rosas,395,0,40.44509,-3.69697,Estadio Santiago Bernabéu
4240,13755533,69930624,Rubi,Private room,Latina,Puerta del Angel,17,86,40.41094,-3.72901,La Latina
4241,13756256,44844031,ValentÃ­n,Private room,Centro,Universidad,55,0,40.42633,-3.70688,Malasaña
4242,13756542,80638392,Angelica,Private room,Salamanca,Lista,15,54,40.43078,-3.67792,Barrio de Salamanca
4243,13756926,45745512,Zuly,Private room,Centro,Sol,22,20,40.4183,-3.70763,Casa de la Panaderia
4244,13759249,11286710,Edu,Private room,Centro,Universidad,45,13,40.4287,-3.70383,Malasaña
4245,13760545,32046323,Juan,Entire home/apt,Centro,Justicia,206,0,40.42429,-3.69264,Fundación Mapfre Recoletos
4246,13760792,42148999,Marta,Entire home/apt,Centro,Sol,98,305,40.4163,-3.70555,Casa de la Panaderia
4247,13761034,80679003,Moraima,Private room,Ciudad Lineal,Ventas,90,0,40.426,-3.65718,Barrio de Salamanca
4248,13762072,24360738,Fernando,Entire home/apt,Centro,Palacio,115,62,40.41324,-3.71216,Cripta de la Almudena
4249,13762309,33049567,JosÃ©,Entire home/apt,Carabanchel,San Isidro,85,22,40.40281,-3.72373,Puente de Toledo
4250,13772843,48754379,Kinan,Private room,Centro,Justicia,100,23,40.42751,-3.70116,Malasaña
4251,13772944,59577568,Gema,Entire home/apt,Centro,Universidad,115,20,40.42867,-3.703,Malasaña
4252,13772954,57292198,Aldo,Private room,Carabanchel,Vista Alegre,10,1,40.3856,-3.74555,La Latina
4253,13773689,69324698,Ana,Entire home/apt,Centro,Embajadores,98,185,40.41258,-3.69997,Barrio de Las Letras
4254,13774719,80852131,Noa,Private room,Centro,Universidad,45,47,40.42731,-3.70354,Malasaña
4255,13775292,37553921,David,Private room,Ciudad Lineal,Ventas,12,10,40.43199,-3.65043,Barrio de Salamanca
4256,13776578,80868810,Roberto,Private room,Latina,Puerta del Angel,35,3,40.4082,-3.73033,La Latina
4257,13777389,5756870,Benjamin,Entire home/apt,Centro,Embajadores,60,0,40.40804,-3.70449,Plaza Mayor
4258,13777565,57944144,NicolÃ¡s,Private room,Salamanca,Lista,10,0,40.43097,-3.67141,Barrio de Salamanca
4259,13778954,80679003,Moraima,Private room,Ciudad Lineal,Ventas,23,13,40.42659,-3.65943,Barrio de Salamanca
4260,13781568,27526991,Leticia Y Fer,Hotel room,Centro,Universidad,96,74,40.42625,-3.70265,Malasaña
4261,13783643,80946832,Estrategias,Private room,Centro,Justicia,150,1,40.42124,-3.70003,Edificio Metrópolis
4262,13785918,80972004,Sergei,Entire home/apt,Centro,Embajadores,43,5,40.40944,-3.70395,Barrio de Las Letras
4263,13790852,81039689,Gerar,Entire home/apt,Centro,Palacio,65,1,40.41038,-3.70913,Plaza Mayor
4264,13792962,81061442,Ignacio,Private room,Salamanca,Goya,25,0,40.4277,-3.67347,Barrio de Salamanca
4265,13794371,81077534,Nina,Entire home/apt,Centro,Cortes,80,1,40.41233,-3.69547,Paseo del Prado
4266,13795664,80679003,Moraima,Private room,Ciudad Lineal,Ventas,23,16,40.42688,-3.65861,Barrio de Salamanca
4267,13799102,53419760,Mario,Entire home/apt,Centro,Sol,60,78,40.41446,-3.70555,Plaza Mayor
4268,13799267,81135107,Juan,Entire home/apt,Fuencarral - El Pardo,Valverde,75,36,40.48584,-3.68622,Estadio Santiago Bernabéu
4269,13800259,81148178,JosÃ© Manuel,Entire home/apt,Centro,Palacio,150,6,40.41875,-3.70858,Gran Vía
4270,13805820,81225691,Enrique,Entire home/apt,Salamanca,Guindalera,100,4,40.4384,-3.67394,Barrio de Salamanca
4271,13809150,25072048,Zeek,Entire home/apt,Salamanca,Castellana,175,0,40.43029,-3.68515,Fundación Mapfre Recoletos
4272,13810790,81285009,Julia,Private room,Arganzuela,Chopera,30,0,40.3914,-3.69532,Puente de Toledo
4273,13810907,78835517,Helen,Entire home/apt,Retiro,Pacífico,60,138,40.40393,-3.68093,Palacio De Cristal
4274,13814652,2217863,Fabio,Private room,Salamanca,Castellana,29,5,40.43527,-3.68098,Barrio de Salamanca
4275,13814821,81342377,Amy,Private room,Chamberí,Arapiles,19,8,40.43314,-3.70889,Malasaña
4276,13817195,81382061,Itxaro,Private room,Chamartín,Nueva EspaÃ±a,35,88,40.46013,-3.67618,Estadio Santiago Bernabéu
4277,13818123,34598812,Maroco,Private room,Centro,Justicia,30,10,40.42025,-3.69984,Edificio Metrópolis
4278,13818220,81394826,Miriam,Entire home/apt,Salamanca,Goya,90,14,40.4265,-3.66994,Barrio de Salamanca
4279,13818564,34598812,Maroco,Private room,Centro,Justicia,25,49,40.42017,-3.70014,Edificio Metrópolis
4280,13818780,34598812,Maroco,Private room,Centro,Justicia,25,3,40.42068,-3.69966,Edificio Metrópolis
4281,13819902,12349871,MarÃ­a,Private room,Centro,Universidad,30,6,40.42667,-3.7045,Malasaña
4282,13820541,886570,Matilde,Private room,Chamartín,Hispanoamérica,70,0,40.45613,-3.66516,Estadio Santiago Bernabéu
4283,13823481,16517500,Gonzalo,Entire home/apt,Arganzuela,Palos de Moguer,75,57,40.40216,-3.69026,Paseo del Prado
4284,13825238,20751539,Sergio,Entire home/apt,Puente de Vallecas,Numancia,30,0,40.40217,-3.66272,Palacio De Cristal
4285,13827516,57582755,Edgar,Private room,Puente de Vallecas,San Diego,15,181,40.39527,-3.67108,Palacio De Cristal
4286,13828104,60410965,Raul,Entire home/apt,Arganzuela,Palos de Moguer,40,3,40.40339,-3.70007,Paseo del Prado
4287,13831115,81562865,Ejessie,Entire home/apt,Centro,Sol,185,0,40.41538,-3.70828,Plaza Mayor
4288,13832164,81577110,Ruben,Private room,Centro,Embajadores,16,5,40.40878,-3.69841,Paseo del Prado
4289,13834360,79270721,Dayana,Entire home/apt,Centro,Embajadores,75,23,40.41069,-3.70616,Plaza Mayor
4290,13834763,79270721,Dayana,Entire home/apt,Centro,Embajadores,50,2,40.41059,-3.70459,Plaza Mayor
4291,13835150,20437708,RamÃ³n,Private room,Centro,Embajadores,21,12,40.40938,-3.70031,Barrio de Las Letras
4292,13836282,81615203,Ana,Private room,Puente de Vallecas,San Diego,21,93,40.38869,-3.66698,Palacio De Cristal
4293,13837974,81637967,Diego,Entire home/apt,Centro,Universidad,90,191,40.42271,-3.70582,Gran Vía
4294,13841176,2419618,Luis,Private room,Centro,Palacio,45,22,40.42083,-3.71206,Plaza de Oriente
4295,13841899,81682959,Luis,Private room,Carabanchel,Comillas,25,9,40.39249,-3.70836,Puente de Toledo
4296,13842460,81681991,Juan Vicente,Entire home/apt,Chamartín,Prosperidad,40,0,40.44368,-3.66897,Barrio de Salamanca
4297,13850986,13992061,Gabriela,Private room,Centro,Universidad,50,21,40.42274,-3.70218,Gran Vía
4298,13851165,6784123,Carmen,Private room,Chamberí,Rios Rosas,20,0,40.44085,-3.69539,Estadio Santiago Bernabéu
4299,13852210,14626191,Andrea Y Daniel,Entire home/apt,Centro,Cortes,76,197,40.41383,-3.70152,Barrio de Las Letras
4300,13852472,81140224,LucÃ­a,Private room,Chamartín,Ciudad Jardín,60,1,40.45128,-3.67126,Estadio Santiago Bernabéu
4301,13854377,81834320,Helena,Private room,Tetuán,Castillejos,26,5,40.45973,-3.69412,Estadio Santiago Bernabéu
4302,13857625,79113388,Cristina,Entire home/apt,Carabanchel,San Isidro,50,0,40.39563,-3.73558,La Latina
4303,13858821,70463864,Beatriz,Private room,Arganzuela,Palos de Moguer,55,67,40.40248,-3.69709,Paseo del Prado
4304,13860105,76707968,Christian,Private room,Centro,Embajadores,20,1,40.40875,-3.70433,Barrio de Las Letras
4305,13860850,45900036,Miguel,Private room,Latina,Aluche,20,6,40.39665,-3.76283,La Latina
4306,13870115,70547446,Nacho,Entire home/apt,Chamberí,Vallehermoso,54,10,40.4419,-3.70724,Malasaña
4307,13870366,82027720,Melody,Entire home/apt,Centro,Embajadores,65,24,40.40806,-3.7091,Plaza Mayor
4308,13870774,82031797,Jorge,Private room,Retiro,Pacífico,30,0,40.40412,-3.67479,Palacio De Cristal
4309,13871896,82042954,AndrÃ©s,Entire home/apt,Centro,Embajadores,30,10,40.40905,-3.69758,Paseo del Prado
4310,13873968,82063419,Richard,Private room,Centro,Universidad,24,182,40.42664,-3.70252,Malasaña
4311,13874329,60088973,Enrique,Entire home/apt,Centro,Embajadores,72,111,40.40801,-3.70879,Plaza Mayor
4312,13874765,82071768,Blasc Gestion SL,Entire home/apt,Centro,Universidad,145,112,40.42734,-3.70339,Malasaña
4313,13877251,63266721,Pastora,Entire home/apt,Centro,Palacio,45,0,40.41092,-3.70974,Plaza Mayor
4314,13880039,12481365,Olga Y Oleg,Entire home/apt,Centro,Embajadores,85,195,40.40997,-3.70158,Barrio de Las Letras
4315,13887762,42763400,Pilar,Entire home/apt,Ciudad Lineal,Quintana,60,52,40.43976,-3.63812,Calle de Alcalá
4316,13890089,48153249,Mariangel,Entire home/apt,Centro,Universidad,45,120,40.42318,-3.70286,Malasaña
4317,13890249,35447033,Irene,Entire home/apt,Centro,Sol,105,119,40.41934,-3.70623,Gran Vía
4318,13893039,11512748,James Andres,Entire home/apt,Centro,Universidad,30,31,40.42681,-3.7043,Malasaña
4319,13893953,82303365,Oscar,Entire home/apt,Centro,Universidad,120,4,40.42301,-3.70519,Gran Vía
4320,13896922,82336134,Nancy,Private room,Latina,Puerta del Angel,30,10,40.41338,-3.72752,Museo de la Catedral de la Almudena
4321,13897721,14785920,Jose,Private room,Usera,San Fermín,17,191,40.37892,-3.6921,Puente de Toledo
4322,13898576,31191634,Katiuska,Entire home/apt,Centro,Universidad,40,84,40.42057,-3.70621,Gran Vía
4323,13898710,23603298,Heima,Entire home/apt,Centro,Palacio,454,74,40.41992,-3.7094,Gran Vía
4324,13898895,47830215,Rocio,Entire home/apt,Arganzuela,Delicias,60,0,40.39653,-3.68953,Paseo del Prado
4325,13899378,25601630,Nancy,Private room,Latina,Puerta del Angel,30,7,40.41313,-3.72882,Museo de la Catedral de la Almudena
4326,13904716,32046323,Juan,Entire home/apt,Chamberí,Gaztambide,207,2,40.43062,-3.71446,Museo Cerralbo
4327,13905353,61040597,Johanna,Private room,Latina,Puerta del Angel,20,77,40.4107,-3.73889,La Latina
4328,13907852,82465896,Mahe,Entire home/apt,Centro,Universidad,90,75,40.42661,-3.70309,Malasaña
4329,13907969,26072216,Nines,Entire home/apt,Centro,Palacio,320,2,40.41024,-3.71144,Cripta de la Almudena
4330,13910164,81438899,Eukaris,Entire home/apt,Carabanchel,Comillas,35,163,40.39418,-3.70968,Puente de Toledo
4331,13910447,4772190,Natalia,Entire home/apt,Centro,Palacio,80,113,40.41786,-3.70978,Plaza de Oriente
