id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
17774070,121346580,Puri,Private room,Fuencarral - El Pardo,La Paz,56,22,40.48496,-3.70686
17776165,95404148,Rafael,Private room,Puente de Vallecas,Portazgo,12,21,40.39118,-3.64659
17783553,22228732,Maria,Private room,Centro,Sol,10,20,40.41654,-3.70424
17791510,69324698,Ana,Entire home/apt,Salamanca,Castellana,110,35,40.43708,-3.67996
17797538,17556638,Maria JesÃºs & Jorge,Entire home/apt,Puente de Vallecas,San Diego,29,61,40.39688,-3.6692
17799818,121373160,Marta Y Alberto,Entire home/apt,Puente de Vallecas,Numancia,60,83,40.3994,-3.66619
17802908,89137081,Andrea,Entire home/apt,Centro,Universidad,95,4,40.42539,-3.71145
17803636,45745512,Zuly,Private room,Centro,Justicia,28,16,40.42327,-3.69939
17803784,99991901,Arizonica Espacios Para Vivir,Entire home/apt,Centro,Universidad,120,28,40.42402,-3.70735
17804071,90957492,Pilar,Entire home/apt,Salamanca,Goya,85,55,40.42547,-3.67678
17807325,5384646,Josefina,Entire home/apt,Chamberí,Trafalgar,100,34,40.43613,-3.70012
17809378,945289,Alex,Entire home/apt,Centro,Universidad,550,19,40.42519,-3.70142
17809905,77219065,Tino Y Patricia,Entire home/apt,Centro,Embajadores,41,4,40.40801,-3.70879
17810058,26106170,Elodie,Entire home/apt,Chamartín,Hispanoamérica,120,43,40.45764,-3.67799
17811060,121739538,Jorge,Entire home/apt,Retiro,Estrella,200,18,40.40841,-3.66964
17816254,1275973,Alejandro,Private room,Centro,Justicia,40,2,40.42301,-3.69835
17817887,77420214,Presidence Rentals,Entire home/apt,Salamanca,Recoletos,157,39,40.42409,-3.68444
17819565,111127491,Javier,Entire home/apt,Centro,Cortes,80,109,40.41279,-3.69776
17820059,121825815,Laren,Entire home/apt,Centro,Palacio,70,167,40.41259,-3.70857
17823052,66310011,MarÃ­a Luz,Entire home/apt,Centro,Universidad,56,59,40.42588,-3.70579
17823920,12030420,Ignacio & Diego MyCityHome,Entire home/apt,Centro,Embajadores,49,37,40.41299,-3.70439
17824857,77420214,Presidence Rentals,Entire home/apt,Centro,Cortes,107,45,40.41579,-3.6968
17825390,77213873,Loren,Entire home/apt,Centro,Palacio,65,3,40.41345,-3.70984
17826217,121718384,MarÃ­a,Private room,Centro,Palacio,48,16,40.41696,-3.71108
17828433,4677030,Jaime,Entire home/apt,Centro,Cortes,80,3,40.41471,-3.69754
17834220,105708985,Rafael,Entire home/apt,Centro,Cortes,80,137,40.41617,-3.69489
17834900,121980622,Lola,Entire home/apt,Centro,Universidad,80,106,40.42717,-3.70832
17836027,32046323,Juan,Entire home/apt,Retiro,Jerónimos,258,0,40.41395,-3.68989
17836144,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,2,40.41631,-3.704
17838023,100939487,Elenyta,Private room,Puente de Vallecas,San Diego,25,8,40.39453,-3.66693
17839578,32046323,Juan,Entire home/apt,Salamanca,Recoletos,310,0,40.425,-3.68631
17839999,122001666,Javier Y Pablo,Entire home/apt,Centro,Cortes,75,62,40.41448,-3.7006
17840282,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,3,40.41645,-3.70204
17840313,4023064,Lorenzo,Entire home/apt,Centro,Cortes,73,99,40.41362,-3.69762
17840320,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,1,40.41496,-3.70424
17841099,26255620,Carretas Apartments,Entire home/apt,Centro,Sol,154,1,40.41488,-3.7029
17841613,97747522,Yasmin,Entire home/apt,Centro,Embajadores,55,40,40.41184,-3.69881
17841797,122042499,Antonio,Entire home/apt,Centro,Palacio,59,141,40.41911,-3.70917
17842959,106263371,Byron Rolando,Private room,Latina,Aluche,20,122,40.39245,-3.74324
17846495,90571195,Gabriel,Entire home/apt,Centro,Universidad,61,37,40.42267,-3.70179
17846666,88018776,Antonio,Private room,Centro,Justicia,22,36,40.42407,-3.69928
17846933,2405945,Noelia,Entire home/apt,Centro,Palacio,60,87,40.41154,-3.71211
17847738,36618530,Freddy,Entire home/apt,Chamberí,Trafalgar,38,23,40.43321,-3.70107
17851640,28401185,Miguel Zambrano,Private room,Centro,Justicia,30,51,40.42016,-3.70118
17851658,69326677,Rafael,Entire home/apt,Tetuán,Cuatro Caminos,45,5,40.45586,-3.69676
17853322,41842339,Aria,Entire home/apt,Chamberí,Arapiles,87,5,40.43296,-3.71086
17853779,53928475,Alfonso,Private room,Chamberí,Arapiles,20,25,40.43655,-3.70925
17855534,122183673,Pedro,Entire home/apt,Centro,Embajadores,300,0,40.41312,-3.70513
17858569,90781469,Marisa,Entire home/apt,Chamartín,Hispanoamérica,90,7,40.45597,-3.67723
17859877,20128787,Juan,Private room,Chamberí,Arapiles,33,7,40.43554,-3.70737
17863122,5128837,Fernando,Entire home/apt,Carabanchel,San Isidro,60,8,40.39379,-3.7235
17864741,121724634,Daniela,Entire home/apt,Centro,Sol,90,9,40.41816,-3.70276
17870505,17499500,Iakai Homes,Entire home/apt,Centro,Palacio,62,93,40.41619,-3.71109
17871536,122340986,Davide,Entire home/apt,Centro,Universidad,68,75,40.42041,-3.70304
17874233,107141654,Leeways,Entire home/apt,Centro,Justicia,100,111,40.42225,-3.69573
17876028,122386491,Victor,Private room,Retiro,Jerónimos,41,38,40.40835,-3.68703
17878993,93139846,Estefania,Private room,Latina,Aguilas,14,10,40.37721,-3.78305
17879833,84145545,Jose Carlos,Entire home/apt,Latina,Cármenes,110,25,40.39622,-3.74169
17883297,122465477,Enrique,Private room,Chamartín,Ciudad Jardín,18,14,40.44633,-3.67653
17886112,122494342,JosÃ©,Entire home/apt,Salamanca,Recoletos,120,81,40.42578,-3.68656
